signature_id,split,expected_class,predicted_class,model,mean_coverage,aggregate_effect,aggregate_p,direction_consistency,i_squared,loo_stability,max_confounder_effect,null_separation_p,platform_holdout_consistency,within_d,within_p
hallmark_ifng_response,primary,durable,mixed,full_model,0.9833333333333333,0.3372793913018801,0.0,0.6,0.9325054617664622,1.0,0.0,0.025,1.0,1.0030245544398753,0.0
hallmark_ifng_response,primary,durable,durable,overlap_only,0.9833333333333333,0.3372793913018801,0.0,0.6,0.9325054617664622,1.0,0.0,0.025,1.0,1.0030245544398753,0.0
hallmark_ifng_response,primary,durable,durable,effect_only,0.9833333333333333,0.3372793913018801,0.0,0.6,0.9325054617664622,1.0,0.0,0.025,1.0,1.0030245544398753,0.0
hallmark_ifng_response,primary,durable,mixed,null_aware,0.9833333333333333,0.3372793913018801,0.0,0.6,0.9325054617664622,1.0,0.0,0.025,1.0,1.0030245544398753,0.0
hallmark_ifng_response,primary,durable,mixed,no_confounder,0.9833333333333333,0.3372793913018801,0.0,0.6,0.9325054617664622,1.0,0.0,0.025,1.0,1.0030245544398753,0.0
hallmark_ifng_response,primary,durable,durable,within_program,0.9833333333333333,0.3372793913018801,0.0,0.6,0.9325054617664622,1.0,0.0,0.025,1.0,1.0030245544398753,0.0
hallmark_ifna_response,primary,durable,mixed,full_model,0.9700000000000001,0.3977328821478728,0.0,0.6,0.9262431411395834,1.0,0.0,0.005,1.0,1.1890876311609395,9.20208353960561e-11
hallmark_ifna_response,primary,durable,durable,overlap_only,0.9700000000000001,0.3977328821478728,0.0,0.6,0.9262431411395834,1.0,0.0,0.005,1.0,1.1890876311609395,9.20208353960561e-11
hallmark_ifna_response,primary,durable,durable,effect_only,0.9700000000000001,0.3977328821478728,0.0,0.6,0.9262431411395834,1.0,0.0,0.005,1.0,1.1890876311609395,9.20208353960561e-11
hallmark_ifna_response,primary,durable,mixed,null_aware,0.9700000000000001,0.3977328821478728,0.0,0.6,0.9262431411395834,1.0,0.0,0.005,1.0,1.1890876311609395,9.20208353960561e-11
hallmark_ifna_response,primary,durable,mixed,no_confounder,0.9700000000000001,0.3977328821478728,0.0,0.6,0.9262431411395834,1.0,0.0,0.005,1.0,1.1890876311609395,9.20208353960561e-11
hallmark_ifna_response,primary,durable,durable,within_program,0.9700000000000001,0.3977328821478728,0.0,0.6,0.9262431411395834,1.0,0.0,0.005,1.0,1.1890876311609395,9.20208353960561e-11
hallmark_inflammatory_response,primary,durable,confounded,full_model,0.92,0.09274523026698081,0.00683557909679533,0.7,0.9250648440229714,1.0,0.29785159440182535,0.585,1.0,0.7375476793322941,0.007218389509754841
hallmark_inflammatory_response,primary,durable,durable,overlap_only,0.92,0.09274523026698081,0.00683557909679533,0.7,0.9250648440229714,1.0,0.29785159440182535,0.585,1.0,0.7375476793322941,0.007218389509754841
hallmark_inflammatory_response,primary,durable,durable,effect_only,0.92,0.09274523026698081,0.00683557909679533,0.7,0.9250648440229714,1.0,0.29785159440182535,0.585,1.0,0.7375476793322941,0.007218389509754841
hallmark_inflammatory_response,primary,durable,brittle,null_aware,0.92,0.09274523026698081,0.00683557909679533,0.7,0.9250648440229714,1.0,0.29785159440182535,0.585,1.0,0.7375476793322941,0.007218389509754841
hallmark_inflammatory_response,primary,durable,mixed,no_confounder,0.92,0.09274523026698081,0.00683557909679533,0.7,0.9250648440229714,1.0,0.29785159440182535,0.585,1.0,0.7375476793322941,0.007218389509754841
hallmark_inflammatory_response,primary,durable,confounded,within_program,0.92,0.09274523026698081,0.00683557909679533,0.7,0.9250648440229714,1.0,0.29785159440182535,0.585,1.0,0.7375476793322941,0.007218389509754841
hallmark_hypoxia,primary,durable,mixed,full_model,0.9544444444444444,0.46185185421092567,0.0,0.8333333333333334,0.949425694105275,1.0,0.0,0.0,1.0,3.5449362128137203,0.000335553319522397
hallmark_hypoxia,primary,durable,durable,overlap_only,0.9544444444444444,0.46185185421092567,0.0,0.8333333333333334,0.949425694105275,1.0,0.0,0.0,1.0,3.5449362128137203,0.000335553319522397
hallmark_hypoxia,primary,durable,durable,effect_only,0.9544444444444444,0.46185185421092567,0.0,0.8333333333333334,0.949425694105275,1.0,0.0,0.0,1.0,3.5449362128137203,0.000335553319522397
hallmark_hypoxia,primary,durable,mixed,null_aware,0.9544444444444444,0.46185185421092567,0.0,0.8333333333333334,0.949425694105275,1.0,0.0,0.0,1.0,3.5449362128137203,0.000335553319522397
hallmark_hypoxia,primary,durable,mixed,no_confounder,0.9544444444444444,0.46185185421092567,0.0,0.8333333333333334,0.949425694105275,1.0,0.0,0.0,1.0,3.5449362128137203,0.000335553319522397
hallmark_hypoxia,primary,durable,durable,within_program,0.9544444444444444,0.46185185421092567,0.0,0.8333333333333334,0.949425694105275,1.0,0.0,0.0,1.0,3.5449362128137203,0.000335553319522397
hallmark_e2f_targets,primary,durable,mixed,full_model,0.9777777777777777,0.4123077107386158,0.0,0.7,0.9353601479449657,1.0,0.06582368972598998,0.005,1.0,0.6207913078860889,0.29734724556969083
hallmark_e2f_targets,primary,durable,durable,overlap_only,0.9777777777777777,0.4123077107386158,0.0,0.7,0.9353601479449657,1.0,0.06582368972598998,0.005,1.0,0.6207913078860889,0.29734724556969083
