signature_id,program,within_k,outside_k,within_d,within_se,within_p,within_i2,within_tau2,outside_d,outside_se,outside_p,outside_i2,outside_tau2,within_p_bonferroni,bonferroni_n_tests
hallmark_ifng_response,interferon,6,24,1.0030245544398753,0.1178948739740244,0.0,0.7213969576354813,0.05599174887354368,0.17472719503628123,0.15055782010725852,0.24583220013788276,0.8887306485459117,0.41788970246933965,0.0,9
hallmark_ifna_response,interferon,6,24,1.1890876311609395,0.18351505060605158,9.20208353960561e-11,0.8837130274826878,0.17110249310080117,0.22538602265412247,0.12438162786283359,0.06997810604813703,0.8344853458773861,0.2596883888524235,8.281875185645049e-10,9
hallmark_inflammatory_response,inflammation,7,23,0.7375476793322941,0.27452854453956355,0.007218389509754841,0.9131584506291754,0.46120843052743576,0.09043702187777425,0.16422265336080302,0.5818409867614454,0.9268557148050109,0.4878519688625805,0.06496550558779357,9
hallmark_hypoxia,hypoxia,6,24,3.5449362128137203,0.9884983714571874,0.000335553319522397,0.9470598351147725,4.921374646865482,0.6964716024047586,0.1717783560462778,5.024633260197753e-05,0.9476018163644135,0.5979560184319713,0.0030199798757015728,9
hallmark_e2f_targets,proliferation,5,25,0.6207913078860889,0.5956895537601852,0.29734724556969083,0.9796272707955214,1.722804931342616,0.4455510692399249,0.14075596528898715,0.0015486180532768845,0.903697540593702,0.3840173633371658,1.0,9
hallmark_emt,emt,6,24,2.5077929432073884,0.6736379747569377,0.00019705631130384482,0.9028283995599421,2.2297093141224464,0.4503108158834289,0.10204059934690132,1.0192191167934794e-05,0.8479365512387271,0.18270050809365637,0.0017735068017346034,9
hallmark_tnfa_nfkb,inflammation,7,23,0.5431388135648045,0.20942688579877922,0.009501748795416987,0.8520776420990899,0.2462165637123005,0.12224711998088489,0.15699779387476576,0.43618296040787774,0.9213130470566229,0.4488039478385499,0.08551573915875288,9
brittle_small_study_inflammation,inflammation,7,23,0.6110908157093711,0.2825499823445959,0.030558822233799354,0.9186205304763831,0.49218123205951037,0.09672886384483453,0.1626292634155612,0.551989590374111,0.9261867436394948,0.48271835625102805,0.2750294001041942,9
mixed_emt_inflammation,emt,6,24,3.149835467954615,0.9139009621756198,0.0005677242622388334,0.942746034963171,4.373280902278418,0.5123450194054214,0.12921289806383607,7.335814468212298e-05,0.9058194351295817,0.3199657560737107,0.005109518360149501,9
mixed_hypoxia_stress,hypoxia,6,24,2.4069588924578165,0.5698345795945914,2.4004588437209762e-05,0.8777377460270982,1.583741728285897,0.638053524488076,0.16187582870744488,8.09320414574266e-05,0.942357884658965,0.5380269826060108,0.00021604129593488786,9
confounded_proliferation,proliferation,5,25,0.7544142607797822,0.6221426459983641,0.22528027532421646,0.9809234169454588,1.8821743599013152,0.7148002618267933,0.15123814797484567,2.2862245203647547e-06,0.9159359646354154,0.45836743712532724,1.0,9
stealth_confounded_hypoxia_prolif,hypoxia,6,24,3.164800738474817,0.8066742695708442,8.73552590592297e-05,0.9250691497251573,3.2071465177487393,0.7528302714805524,0.19233522101566658,9.072055704106852e-05,0.9575204169580237,0.7737209083796416,0.0007861973315330673,9
stealth_confounded_inflam_immune,inflammation,7,23,0.19865761889499717,0.17607660567013544,0.25921629886129516,0.79328581346932,0.16013323823554979,0.1047746351321733,0.15485858708886016,0.4986707825160248,0.9175636259042207,0.42564905841754225,1.0,9
blind_durable_ifn_composite,interferon,6,24,1.0654086478892124,0.13975203523873986,2.4646951146678475e-14,0.8012377666993629,0.08838551663632187,0.20774863417353578,0.13081873757959284,0.11227168373339746,0.8517093190964188,0.29667857050723073,2.2182256032010628e-13,9
blind_durable_hypoxia_core,hypoxia,6,24,3.4080254573117097,0.9000905165204303,0.00015289835584475497,0.9371994319657441,4.014781067477944,0.6739578194391262,0.17903142954148915,0.00016690503920169242,0.9516956739139094,0.6566052924339467,0.0013760852026027948,9
blind_mixed_emt_stress,emt,6,24,2.2926950979717713,0.7585109801787446,0.002505916402407049,0.9293951920069151,2.9949301714058008,0.7923658499593861,0.13275067344202715,2.3896480350060756e-09,0.9103758609291711,0.34387464456168443,0.02255324762166344,9
blind_confounded_prolif_inflam,proliferation,5,25,0.1704330580400731,0.42920452803748294,0.6913006952812701,0.9639078867460302,0.8745209084999459,0.6009168263390606,0.15297871565023863,8.561697404418922e-05,0.9159682156246363,0.4526102983421842,1.0,9
blind_confounded_stealth_emt_immune,emt,6,24,2.7994930864822227,0.8762279157967154,0.0013986131313825645,0.93995467337422,4.014412336424034,-0.05262766595605364,0.13215697634103277,0.6904673841579196,0.9116376075702042,0.34065226704952145,0.01258751818244308,9
