external_cohort_id	geo_accession	analysis_group	tissue	design_summary	matrix_file	series_matrix_file	matrix_format	gene_id_namespace	sample_id_source	phenotype_field	case_label	control_label	total_samples	case_samples	control_samples	notes
gse152641_blood_covid_vs_healthy	GSE152641	primary	whole_blood	COVID-19 whole blood vs healthy controls	GSE152641_counts_entrez.csv.gz	GSE152641_series_matrix.txt.gz	wide_csv	entrez	sample_title	disease	COVID19	Healthy control	86	62	24	Processed whole-blood counts from GEO supplementary files.
gse171110_blood_severe_covid_vs_healthy	GSE171110	primary	whole_blood	Severe COVID-19 whole blood vs healthy controls	GSE171110_raw_counts_geo.txt.gz	GSE171110_series_matrix.txt.gz	wide_tsv_three_row_preamble	gene_symbol	matrix_header_row0	status	Severe Covid-19	Healthy	54	44	10	Expression matrix stores sample IDs in the first header row rather than the GEO sample titles.
gse152075_nasopharynx_sarscov2_pos_vs_neg	GSE152075	primary	nasopharynx	SARS-CoV-2 positive vs negative nasopharyngeal swabs	GSE152075_raw_counts_GEO.txt.gz	GSE152075_series_matrix.txt.gz	space_delimited_counts	gene_symbol	sample_title	sars_cov_2_positivity	pos	neg	484	430	54	Upper-airway bulk RNA-seq external validation cohort with explicit PCR positivity labels.
gse167000_blood_sarscov2_pos_vs_neg	GSE167000	primary	whole_blood	Hospitalized SARS-CoV-2 positive vs negative whole blood	GSE167000_Counts_for_GEO.txt.gz	GSE167000_series_matrix.txt.gz	long_tsv_gene_name	gene_symbol	sample_title	sars_cov2_status	Positive	Negative	95	65	30	Long-format supplementary counts pivoted to gene x sample inside the validation script.
gse152418_pbmc_covid_vs_healthy	GSE152418	exploratory	pbmc	COVID-19 PBMC vs healthy controls	GSE152418_rawcounts.txt.gz	GSE152418_series_matrix.txt.gz	wide_tsv	ensembl	sample_title	disease_state	COVID-19	Healthy	33	16	17	Exploratory cell-selected PBMC stress test; the GEO series also contains one convalescent sample, excluded from the two-group comparison.
